2022-04-10 13:30:34,000 - mealpy.swarm_based.SSA.BaseSSA - INFO - Solving single objective optimization problem.
2022-04-10 13:30:44,422 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 18, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04972 seconds
2022-04-10 13:30:44,472 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 19, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04979 seconds
2022-04-10 13:30:44,523 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 20, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04976 seconds
2022-04-10 13:30:44,573 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 21, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04950 seconds
2022-04-10 13:30:44,623 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 22, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04935 seconds
2022-04-10 13:30:44,673 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 23, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04983 seconds
2022-04-10 13:30:44,723 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 24, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04941 seconds
2022-04-10 13:30:44,774 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 25, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05037 seconds
2022-04-10 13:30:44,824 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 26, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04906 seconds
2022-04-10 13:30:44,874 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 27, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04944 seconds
2022-04-10 13:30:44,925 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 28, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05009 seconds
2022-04-10 13:30:44,975 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 29, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04952 seconds
2022-04-10 13:30:45,026 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 30, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05005 seconds
2022-04-10 13:30:45,076 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 31, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04965 seconds
2022-04-10 13:30:45,126 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 32, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04938 seconds
2022-04-10 13:30:45,176 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 33, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04966 seconds
2022-04-10 13:30:45,228 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 34, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05050 seconds
2022-04-10 13:30:45,279 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 35, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05082 seconds
